#options: 300x532 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=16 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=20.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:34 type:b dur:2 cpbdur:2 q:26.03 aq:22.89 tex:4937 mv:2761 misc:654 imb:16 pmb:310 smb:320 d:- ref:0 ;
in:36 out:35 type:P dur:2 cpbdur:2 q:26.03 aq:19.87 tex:41632 mv:5786 misc:254 imb:231 pmb:394 smb:21 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:26.03 aq:23.54 tex:7621 mv:3903 misc:684 imb:24 pmb:371 smb:251 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:26.03 aq:21.49 tex:43601 mv:5972 misc:243 imb:322 pmb:301 smb:23 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:26.03 aq:23.06 tex:11724 mv:4724 misc:576 imb:41 pmb:412 smb:193 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:26.03 aq:20.60 tex:770 mv:743 misc:623 imb:1 pmb:195 smb:450 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:26.03 aq:23.83 tex:9562 mv:4566 misc:624 imb:43 pmb:365 smb:238 d:- ref:0 ;
in:42 out:41 type:P dur:2 cpbdur:2 q:26.03 aq:22.97 tex:13818 mv:4091 misc:611 imb:98 pmb:369 smb:179 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:26.03 aq:22.73 tex:1172 mv:401 misc:491 imb:2 pmb:99 smb:545 d:- ref:0 ;
in:43 out:43 type:I dur:2 cpbdur:2 q:23.14 aq:21.67 tex:104751 mv:23310 misc:131 imb:646 pmb:0 smb:0 d:- ref:;
in:46 out:44 type:P dur:2 cpbdur:2 q:26.03 aq:23.44 tex:92181 mv:7014 misc:157 imb:294 pmb:352 smb:0 d:- ref:0 ;
in:44 out:45 type:B dur:2 cpbdur:2 q:26.03 aq:26.02 tex:31937 mv:7951 misc:440 imb:92 pmb:449 smb:105 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:26.03 aq:26.36 tex:23044 mv:8453 misc:447 imb:60 pmb:479 smb:107 d:- ref:0 ;
in:48 out:47 type:P dur:2 cpbdur:2 q:26.03 aq:24.52 tex:46516 mv:6121 misc:259 imb:165 pmb:462 smb:19 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:26.03 aq:25.12 tex:187 mv:43 misc:210 imb:0 pmb:16 smb:630 d:- ref:0 ;
in:50 out:49 type:P dur:2 cpbdur:2 q:26.03 aq:23.98 tex:87204 mv:7138 misc:170 imb:273 pmb:369 smb:4 d:- ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:26.03 aq:27.02 tex:28263 mv:8330 misc:471 imb:73 pmb:473 smb:100 d:- ref:0 ;
in:54 out:51 type:P dur:2 cpbdur:2 q:26.03 aq:23.66 tex:79279 mv:7235 misc:158 imb:235 pmb:409 smb:2 d:- ref:0 ;
in:52 out:52 type:B dur:2 cpbdur:2 q:26.03 aq:24.33 tex:41091 mv:9760 misc:301 imb:63 pmb:557 smb:26 d:- ref:0 ;
in:51 out:53 type:b dur:2 cpbdur:2 q:26.03 aq:24.55 tex:148 mv:55 misc:221 imb:0 pmb:19 smb:627 d:- ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:26.03 aq:26.48 tex:19592 mv:7945 misc:551 imb:41 pmb:462 smb:143 d:- ref:0 ;
in:56 out:55 type:P dur:2 cpbdur:2 q:26.03 aq:22.78 tex:81725 mv:7250 misc:177 imb:162 pmb:482 smb:2 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:26.03 aq:27.04 tex:16255 mv:5604 misc:597 imb:14 pmb:467 smb:165 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:26.03 aq:23.90 tex:78323 mv:7346 misc:163 imb:206 pmb:438 smb:2 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:26.03 aq:25.58 tex:23088 mv:6585 misc:503 imb:21 pmb:526 smb:99 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:26.03 aq:22.66 tex:123 mv:100 misc:233 imb:0 pmb:27 smb:619 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:26.03 aq:26.94 tex:19485 mv:7148 misc:495 imb:25 pmb:520 smb:101 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:26.03 aq:24.78 tex:76943 mv:6674 misc:167 imb:265 pmb:377 smb:4 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:26.03 aq:24.08 tex:33325 mv:8503 misc:428 imb:54 pmb:531 smb:61 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:26.03 aq:20.19 tex:136 mv:27 misc:189 imb:0 pmb:11 smb:635 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:26.03 aq:26.22 tex:21060 mv:7717 misc:551 imb:56 pmb:442 smb:148 d:- ref:0 ;
in:66 out:65 type:P dur:2 cpbdur:2 q:26.03 aq:23.24 tex:94532 mv:6831 misc:173 imb:282 pmb:362 smb:2 d:- ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:26.03 aq:26.52 tex:25631 mv:7658 misc:527 imb:43 pmb:466 smb:137 d:- ref:0 ;
in:68 out:67 type:P dur:2 cpbdur:2 q:26.03 aq:24.11 tex:45200 mv:5936 misc:288 imb:115 pmb:506 smb:25 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:26.03 aq:24.60 tex:187 mv:69 misc:232 imb:0 pmb:19 smb:627 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:26.03 aq:24.00 tex:49147 mv:6106 misc:275 imb:86 pmb:532 smb:28 d:- ref:0 ;
in:71 out:70 type:P dur:2 cpbdur:2 q:26.03 aq:22.96 tex:69221 mv:6839 misc:212 imb:113 pmb:522 smb:11 d:- ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:26.03 aq:27.14 tex:17371 mv:6160 misc:573 imb:18 pmb:482 smb:146 d:- ref:0 ;
in:75 out:72 type:P dur:2 cpbdur:2 q:26.03 aq:24.23 tex:84075 mv:7181 misc:144 imb:251 pmb:394 smb:1 d:- ref:0 ;
in:73 out:73 type:B dur:2 cpbdur:2 q:26.03 aq:26.03 tex:26025 mv:6288 misc:479 imb:32 pmb:523 smb:91 d:- ref:0 ;
in:72 out:74 type:b dur:2 cpbdur:2 q:26.03 aq:24.45 tex:224 mv:285 misc:395 imb:0 pmb:71 smb:575 d:- ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:26.03 aq:27.11 tex:25392 mv:7072 misc:536 imb:59 pmb:452 smb:135 d:- ref:0 ;
in:79 out:76 type:P dur:2 cpbdur:2 q:26.03 aq:24.02 tex:66101 mv:6769 misc:162 imb:255 pmb:389 smb:2 d:- ref:0 ;
in:77 out:77 type:B dur:2 cpbdur:2 q:26.03 aq:24.18 tex:39589 mv:8639 misc:348 imb:75 pmb:528 smb:43 d:- ref:0 ;
in:76 out:78 type:b dur:2 cpbdur:2 q:26.03 aq:21.76 tex:112 mv:30 misc:154 imb:1 pmb:6 smb:639 d:- ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:26.03 aq:26.66 tex:19918 mv:7957 misc:581 imb:30 pmb:466 smb:150 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:26.03 aq:22.95 tex:63863 mv:7112 misc:153 imb:143 pmb:503 smb:0 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:26.03 aq:24.96 tex:53733 mv:6903 misc:204 imb:122 pmb:506 smb:18 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:26.03 aq:24.24 tex:31302 mv:7078 misc:428 imb:28 pmb:551 smb:67 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:26.03 aq:26.98 tex:118 mv:48 misc:210 imb:0 pmb:17 smb:629 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:26.03 aq:27.06 tex:14441 mv:6591 misc:624 imb:22 pmb:445 smb:179 d:- ref:0 ;
in:86 out:85 type:P dur:2 cpbdur:2 q:26.03 aq:23.53 tex:88890 mv:7103 misc:159 imb:289 pmb:357 smb:0 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:26.03 aq:26.62 tex:26639 mv:9096 misc:473 imb:42 pmb:514 smb:90 d:- ref:0 ;
in:89 out:87 type:P dur:2 cpbdur:2 q:26.03 aq:24.94 tex:72904 mv:6764 misc:220 imb:226 pmb:406 smb:14 d:- ref:0 ;
in:87 out:88 type:B dur:2 cpbdur:2 q:26.03 aq:23.97 tex:326 mv:44 misc:262 imb:0 pmb:22 smb:624 d:- ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:26.03 aq:26.82 tex:27054 mv:8244 misc:518 imb:41 pmb:460 smb:145 d:- ref:0 ;
in:91 out:90 type:P dur:2 cpbdur:2 q:26.03 aq:22.65 tex:83287 mv:6618 misc:151 imb:284 pmb:362 smb:0 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:26.03 aq:25.89 tex:23832 mv:6944 misc:560 imb:50 pmb:444 smb:152 d:- ref:0 ;
in:95 out:92 type:P dur:2 cpbdur:2 q:26.03 aq:23.48 tex:67155 mv:6719 misc:238 imb:229 pmb:400 smb:17 d:- ref:0 ;
in:93 out:93 type:B dur:2 cpbdur:2 q:26.03 aq:25.65 tex:24115 mv:6916 misc:513 imb:41 pmb:451 smb:154 d:- ref:0 ;
in:92 out:94 type:b dur:2 cpbdur:2 q:26.03 aq:25.07 tex:162 mv:68 misc:226 imb:0 pmb:17 smb:629 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:26.03 aq:25.80 tex:19844 mv:6700 misc:584 imb:26 pmb:443 smb:177 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:26.03 aq:25.06 tex:58023 mv:6199 misc:306 imb:214 pmb:394 smb:38 d:- ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:26.03 aq:23.70 tex:35433 mv:7667 misc:436 imb:56 pmb:513 smb:77 d:- ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:26.03 aq:28.33 tex:143 mv:163 misc:310 imb:0 pmb:40 smb:606 d:- ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:26.03 aq:27.02 tex:19259 mv:6957 misc:544 imb:42 pmb:404 smb:200 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:26.03 aq:24.72 tex:68650 mv:6336 misc:278 imb:217 pmb:402 smb:27 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:26.03 aq:24.63 tex:79895 mv:6446 misc:195 imb:336 pmb:296 smb:14 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:26.03 aq:24.00 tex:49792 mv:8864 misc:352 imb:95 pmb:506 smb:45 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:26.03 aq:27.17 tex:134 mv:61 misc:205 imb:0 pmb:13 smb:633 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:26.03 aq:26.44 tex:29464 mv:8182 misc:538 imb:63 pmb:445 smb:138 d:- ref:0 ;
in:106 out:105 type:P dur:2 cpbdur:2 q:26.03 aq:22.56 tex:95131 mv:6721 misc:172 imb:308 pmb:337 smb:1 d:- ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:26.03 aq:26.70 tex:25773 mv:7624 misc:499 imb:76 pmb:432 smb:138 d:- ref:0 ;
in:110 out:107 type:P dur:2 cpbdur:2 q:26.03 aq:23.64 tex:70967 mv:6430 misc:179 imb:269 pmb:369 smb:8 d:- ref:0 ;
in:108 out:108 type:B dur:2 cpbdur:2 q:26.03 aq:25.15 tex:24202 mv:7301 misc:473 imb:47 pmb:501 smb:98 d:- ref:0 ;
in:107 out:109 type:b dur:2 cpbdur:2 q:26.03 aq:24.29 tex:86 mv:17 misc:145 imb:0 pmb:5 smb:641 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:26.03 aq:26.17 tex:20707 mv:6776 misc:509 imb:58 pmb:466 smb:122 d:- ref:0 ;
in:114 out:111 type:P dur:2 cpbdur:2 q:26.03 aq:24.58 tex:67679 mv:6159 misc:226 imb:294 pmb:338 smb:14 d:- ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:26.03 aq:23.83 tex:40201 mv:8309 misc:322 imb:81 pmb:530 smb:35 d:- ref:0 ;
in:111 out:113 type:b dur:2 cpbdur:2 q:26.03 aq:22.69 tex:63 mv:25 misc:144 imb:1 pmb:4 smb:641 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:26.03 aq:26.31 tex:22836 mv:7495 misc:477 imb:63 pmb:422 smb:161 d:- ref:0 ;
in:116 out:115 type:P dur:2 cpbdur:2 q:26.03 aq:23.54 tex:91057 mv:6784 misc:231 imb:265 pmb:365 smb:16 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:26.03 aq:26.97 tex:29678 mv:8221 misc:397 imb:66 pmb:479 smb:101 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:26.03 aq:24.30 tex:95048 mv:6845 misc:139 imb:328 pmb:316 smb:2 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:26.03 aq:26.24 tex:41599 mv:8932 misc:349 imb:77 pmb:511 smb:58 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:26.03 aq:30.04 tex:51 mv:10 misc:131 imb:0 pmb:3 smb:643 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:26.03 aq:27.34 tex:34860 mv:8992 misc:380 imb:67 pmb:509 smb:70 d:- ref:0 ;
in:122 out:121 type:P dur:2 cpbdur:2 q:26.03 aq:24.75 tex:49304 mv:6685 misc:275 imb:87 pmb:532 smb:27 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:26.03 aq:27.01 tex:310 mv:99 misc:263 imb:0 pmb:28 smb:618 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:26.03 aq:24.85 tex:49324 mv:6527 misc:269 imb:78 pmb:544 smb:24 d:- ref:0 ;
in:125 out:124 type:P dur:2 cpbdur:2 q:26.03 aq:25.03 tex:74290 mv:7523 misc:179 imb:200 pmb:442 smb:4 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:26.03 aq:27.34 tex:27365 mv:8020 misc:471 imb:32 pmb:524 smb:90 d:- ref:0 ;
